did,text,target,title,date
201,"

Several years ago GM was having trouble with the rings sticking on the
5.7 diesel.  They traced a cause to the use of 10W-40 oil.  They would
not honor warranty work if 10W-40 was used (if my memory serves me).
5-30, 10-30 or 20 50 was OK'd though.",7,rec.autos,32:20.2
207,"
I had the same problem in my '90 MX-6. Luckily I had it fixed
under warranty. I think they replaced a tail light gasket.
Check with a dealer, it's a known problem.
",7,rec.autos,32:20.2
216,"As an additional data point, I have run Castrol 20W50 exclusively
in the following cars: 75 Rabbit, 78 Scirocco, 76 Rabbit, 78 Bus,
70 Beetle, 76 Bus, 86 Jetta GLI.  I've never had an oil-related
problem.

Disclaimer:  It gets mighty hot down here.",7,rec.autos,32:20.2
262,"
Women's pants rarely have pockets and most, when they do, are too
shallow to use!

I is very important for a woman to have her keys in her hand when
she goes from building to a car. It is protect herself from
would be assilants by broadcasting that this is someone who
as a definite place of safty (ie a locked car!).

Puting keys and walet looks ugly! It breaks the lines and makes
you rear look wide as a cows!

 Also, to have the habits that
work for any clothing situation, the pruse functions no mater
what you are wearing! (even nude or a bikni)

A women's suit coat is lucky to have 2 pockets (2 on the outside,
none on the inside). I have men's coats that have as much as 6
pockets! This is definitally not fair!!!

As one that wears both men's and women's clothes, I can tell you,
women's clothes have few if any funtional pockets!

When dressed as a man, I put my wallet on my inside coat pocket and
my keys in a coat outside pocket. It is much more covenent
than the pants pockets and looks better.

Having a car that unlocks quickly and locks back fast is
paramout to a woman's safty. Men don't see this as a problem.
A woman is aware of this every time she goes out! (i.e.
Image some red necks yelling at you ""We are going to FUCK YOU!""
and the out weight you by 20 lbs and have 3 inches in hight
on you!)

If you want to find out why a women does something, LIVE AS ONE!",7,rec.autos,32:20.2
274,"

I agree.  Six hour long stretches behind the wheel really make me
thirsty, especially for something with caffeine.  I consider it a
failing of my car that it has no cup holder nor anywhere to put a cup
holder.",7,rec.autos,32:20.2
405,"From: thwang@mentor.cc.purdue.edu (Tommy Hwang)
Subject: Advise needed in buying Automobile

   >I am in search of a dependable automobile to purchase.  Below
   >are its requirements:
   >	5. V6 or above

       Most of the cars you mentioned are below (smaller than) V6 engine.

   Tony
--",7,rec.autos,32:20.2
415,"            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

I know that this isn't the group for it, but since you brought it up,
does anyone have any idea why they haven't ""bombed"" the Waco cult?    

Just curious.



                                                  .  
                                                 /                
Larry                            __/    _______/_                 
keys@csmes.ncsl.nist.gov       /                  \               
                          _____     __     _____    \------- ===
            ----------- / ____/   /  /   /__  __/              \
         /     ___    /  / ___   /  /      / /    ____          |
        |    /      \/ /__ /  | /  /__  __/ /__ /       \      / 
        /___         \_______/ /_____/ /______/            ====OO
            \       /                           \       /         
                -            1990 2.0 16v           -


       ---------------- FAHRVERGNUGEN FOREVER! --------------------            
            The fact that I need to explain it to you indicates
            that you probably wouldn't understand anyway!",7,rec.autos,32:20.2
445,"





Bzzt.
The manta was a two-door sedan in the US.
It had a 1900 engine.
Was sometimes referred to as an Opel 1900.
Manta's are also ve hot and fun cars too.


















",7,rec.autos,32:20.2
462,"sorry about that last post, my server neglected to send the message:",7,rec.autos,32:20.2
463,"From article <1993Apr5.200048.23421@ucsu.Colorado.EDU>, by lorenzo@rintintin.Colorado.EDU (Eric Lorenzo):

--Let me put it like this.  The only similarity between the three models
  is the ""300"", or 3-liter engine displacement.  Actually, the SC300 (the
  coupe) and the GS300 (the funky-looking new sedan) share the same 3.0
  liter inline-six, and the ES300 (popular small sedan) uses 3.0 V6 shared
  with the Camry.  The SC300 is a luxury/sports coupe, the GS300 is the new
  luxury sedan, and the ES300 is the base executive sedan.  All three look
  completely different.

--Aamir Qazi
-- ",7,rec.autos,32:20.2
492,This appeared today in the ,7,rec.autos,32:20.2
526,"
On the cars mentioned - 3 series from the late 80's the ""electronic""
odometer is really a mechanical drum type odometer, that is driven
by pulses from a speed sensor on the rear axle.  These pulses are 
converted into mechanical pulses that turn the odometer - and speedometer.
No way changing or erasing an eprom is going to change the mileage
reading.  It also means the odometer is just as easy (or hard) to
change as any other mechanical odometer.

On the other hand it is a bit easier to disconnect the speed sensor
and run the car with no speedometer or odometer reading...a simple
switch will do the job.  It also will disable the speed limiter,
which will enable the car to reach it's full speed.  ;-)

",7,rec.autos,32:20.2
534,"
OK...

5) How about a fuel gauge that *really* told you how much fuel was
   left.  Like, ""can I make it to where the gas is $1.14 or should
   I get gouged right here at $1.35?""  Accurate to the tenth of a
   gallon would be great.",7,rec.autos,32:20.2
547,"G'day people,
	
	Are there any MR2 owners or motor-head gurus out there, that know why
my MR2's engine sounds noisy? The MR2's engine is noisy at the best of times, 
but not even a nice nose - it's one of those very ugly noises. 
	I do an oil change every 2-3 months, and for about 2 months the engine
noise sounds relatively quiet during driving and idling. At around the 3 month
mark, after an oil change (I've been tracking this very thoroughly for months
now) it starts to get that very disgusting noise, not so much during driving,
but more so during idling. 
	What's its problem? 
	Also.. I don't know if it's just me, but if noticed a little
performance drop. It just hasn't got the acceleration it used to. 

	Any help/tips would be appreciated!!
",7,rec.autos,32:20.2
564,"
--AutoWeek had an article about the car within the past six weeks.
  It was the issue with the Diablo VT AWD on the cover.  Naturally, I
  don't remember the date of the issue offhand, but I can check it if
  anyone is interested.  

--Aamir Qazi

-- ",7,rec.autos,32:20.2
592," 
Yeah, I loved the vent windows on my 82 Escort (hell, the only thing I liked
about the car).  One of the things I'd like to see brought back.  Does
anyone know if they're an option on the new Escorts?",7,rec.autos,32:20.2
596,"I want to get a car alarm and I am thinking about getting an Ungo Box.
    Does anyone out there have any knowledge or experience with any of
    these alarms?  How about price ranges for the different models?
    Are these good car alarms?  Please email me any responces.

                cak3@ns3.lehigh.edu",7,rec.autos,32:20.2
598,"

sure sounds like they got a ringer.  the 325is i drove was definitely
faster than that.  if you want to quote numbers, my AW AutoFile shows
0-60 in 7.4, 1/4 mile in 15.9.  it quotes Car and Driver's figures
of 6.9 and 15.3.  oh, BTW, these numbers are for the 325i.

i don't know how the addition of variable valve timing for 1993 affects it.
but don't take my word for it.  go drive it.",7,rec.autos,32:20.2
603,"
Don't worry about leaks.  Don't worry about which way to turn the damn thing.
Take a good claw hammer and pry it straight out.  Now, you'll notice, after
all the oil pours out, that there are no theads where there used to be.",7,rec.autos,32:20.2
621,"

Well people fortunatly or unfortunatly ,
only the US is experiencing the devaluation of human life (among 
developed nations).

I am an American but I was raised in Europe, where the worst thing that 
can happen to somebody is get his car broken into, or have his pocket
picked by Slaves or Russian refugees.

Of cource there will be some nutcases, but thats extremely rare.

I.e. in Greece you can walk through any neighborhood at any time during
the night without even worrying.

In Germany , you can walk the sidewalks at 4.00 am and not even look 
behind your back, at the sanitation crews that clean the streets to a 
sparkling cleen.

Whoever of you have been there you know what I am saying.

I dont have any easy answers but if we as a nation do some selfcritisism
we might get somewhere.

Of course these postings sould be in soc.culture.US but if we reduce
crime here it 'll mean less car insurance rates ,thus we could spend
more money on modifing our cars. (Now my posting is rec.autos.tech 
revelant).

Vlasis  Theodore

___________________
Software Engineer
IDB Mobile Communications.",7,rec.autos,32:20.2
631,"

just to satiate my curiosity, why would this make you the stupid one?  It seems
to me, everybody SHOULD be aware enough of what is going on.  You do not need
to calculate the future position.  You need to look at your mirrors a little
more.  If you glance around, you will be able to tell how much faster than you
the car is going.  Maybe not precisely, but well enough to know if you should
let him around before you try to pass.  I know what you are talking about,
about the other driver being startled, because i myself have been startled
by drivers cruising by at around 90-100mph when i'm doin 55-65.  The problem,
though, as i saw it, was not their fault for barreling around me, but my fault
for not paying the attention to my task-at-hand that i should have been.
Oddly enough, since the 2nd time(happened 2x in around 4 mo. when i'd had my
liscence for around 6 mo), i haven't been startled..and i've been passed by
cars doing roughly twice the speed of my car.  Another odd occurance is the
fact that this only seems to happen on LONG trips...and if i drive along with
them, it doesn't happen at all :-) even on the long trips! :-)  (adrenaline
will do that to you...i've had bad cop experiences with speeding, so anything
over the limit is adrenalizing for me...scared i'll get caught :-)  Maybe
they should raise the limit, so we can pay better attention.....

just curious, and my .otwo",7,rec.autos,32:20.2
636,"Thanks to everyone who responded to my Honda Accord break question.
It does seem that the master cylinder is bad. I will have my
mechanic double check and be sure it isn't something simpler
and cheaper first, but from your responses it sounds like it
is very likely to be the master cylinder.

Thanks everyone!!",7,rec.autos,32:20.2
659,"
So its an automatic? Don't know if US spec=CDN spec. for Maximas.


If it is the first set of brake pads on front, then this is fine. My car
eats a set every 15k miles or so. The fact that he is replacing the
muffler too is also ok.


The mileage is fairly low - but typical fwd stuff is CV joints. Check
the maintenance records with the manufacturers requirements for valve
adjustments, timing belt changes and so on.

The 60k mile service is often expensive, so make sure he has done everything.


Well, this is one of the commonly cited methods for identifying a
car with highway miles. 
Might check the gas pedal wear too. Ask him how many sets of tires he
has been through. A highway car might have squeezed by on 2 sets,
a hard driven car 6-10 sets.



Well, the Maxima should be pretty reliable - but if its out of warranty
you should get it checked out by someone knowledgeable first. Stuff
for Japanese cars can be expensive.


1995 model year, I believe. ",7,rec.autos,32:20.2
676,"********* 1990 Integra LS for Sale *********

5 speed, sunroof, rear spoiler, new tires
59.7K miles

$ 7950 or best offer.

call 908-949-0878
     908-938-4101

email att!hotsoup!peng",7,rec.autos,32:20.2
682,"



I've got an 89 GT.  It has the smoked taillight assembly.  I think this is where
the water is getting in.  When I first got it (had it for a month), one of the rear
taillights fogged up with moisture.  I took it in to the dealer and they replaced
the entire assembly.  It happened to the other one about 3 months later.  This time
I happened to look in the spare tire well and noticed water standing in there.  The
dealer was more reluctant this time to replace it.  But I convinced them to
fix it.  (They must have had to deal with a number of other probes with the same
problem.)  I haven't noticed water in the taillamps (or the trunk) for the last 2.5
years, but just last month, the taillamp just fogged up again.  I'm going to try
to take it back to get them to fix it again.  I'm real tempted to drill some vent
and drain holes in the tops and bottoms of the assembly and forget about it.  This is
getting very annoying. (Almost every other `89 GT I've seen has had this problem.)

Vel
-- 
--------------------------------------------------------------------------------
-- Vel Natarajan  nataraja@rtsg.mot.com  Motorola Cellular, Arlington Hts IL  --",7,rec.autos,32:20.2
699,"


This is a good idea - so you can carry your (non-alcoholic) drinks without
spilling or having someone hold on to them.


Fax machines, yes.  Cellular phones:  Why not get a hands-free model?


Seemingly unique to American luxury cars.  The Big Three haven't yet realized
that the 1970s are over.


I agree.  Just another display of Yuppie excess.",7,rec.autos,32:20.2
722,"
There is something going on here.  It seems that once a month, the VW
group must have get a specific detailed question about Hondas.  I
would like to ask that next month we get one about Hyundai instead of
Honda.  Thank you.",7,rec.autos,32:20.2
730,"
740 Turbo in UK was good for 124mph. Useful for blowing away VW Beetles, though I
believe the Beetle corners better. 

I can say without any doubt that I have never been blown away by any Volvo, ever.
I've been blocked into a few car parks though by shit-head Volvo owners who 'only thought they'd be a few minutes'. This does not happen with the owners of any other makes of car.",7,rec.autos,32:20.2
763,"

We had those f*****g photo-radar things here in Sweden a while ago.
There was a lot of fuzz about them, and a lot of sabotage too (a spray-can
with touch-up paint can do a lot of good...).

Eventually they had to drop the idea as there were a lot of court-cases
where the owner of the car could prove he didn't drive it at the time
of speeding.

I especially recall a case where it eventually proved to be a car-thief that
had stolen a car and made false plates. He, ofcourse, chose a license number
of a identical car, so the photo seemed correct...

In conclosion: Photo-radar sucks, every way you look at it!",7,rec.autos,32:20.2
771,"Why don't you look again at Motor Trend's, slalom times, they are 67.9, right
along with the Integra, and the car does that with small 14 inch tires that
are all -weather XGTV4, not to mention that the Integra rides alot better than
a Beretta.
Your acceleartion times also vary, magazine to magazine
Road & Track and Car& Driver have the GS-R at 6.8 to 8.0 for Road and Track.
Also Quarter mile times vary from 15.4 to 16.1
You can't tell exactly by the numbers.  Furthermore, the Integra will
definately outrun the Beretta on the high end.  Car & Driver and Road & track
have the GS-R doing 136 to 141 mph, and it gets there fast.


***You always believe those exact numbers, why don't you drive a GS-R, and see
for your self, while the GS-R has a low 117 torqye, its high gearing over a 8000
rpm make up for the difference (still wouldn't call it a torque moster though!)


Quad 4 reliable, yeah, what's your definition of reliable- if that's reliable,
then its safe to say that integra engines in general are near perfect
 (not to mention, a hell of alot smoother and quieter - balance shafts.The Acura has the engine
   wins the reliablity contest hands down. You can rev that car all day, everyday,
and you'll never blow a hose, or crack the block, or anything else. (I speak
from expierence!)
I'm not saying the Quad 4 is a bad engine, but don't highlight reliability when you
comparing it to a Acura Engine.  AND while the Integra costs alot more, it is a
better investment since it will hold its value considerably much better.  And
does a nice job at being a sporty car and practical at the same time.",7,rec.autos,32:20.2
795,"
My T-Bird SC's manual says to replace the platinum plugs every 60,000mi.
Wal-Mart has Autolite platinum plugs for $2.00 each. Are these ""real""
platinum plugs? (I had Bosch platinums in my '80 Fiesta and my dad
had 'em in his '84 Bronco--note the keyword ""had."" They didn't last
very long (much less than 50,000mi) before they had to be replaced.
I agree that they weren't the greatest.)

				James",7,rec.autos,32:20.2
800,"
",7,rec.autos,32:20.2
876,"

hmmmm.. not sure, since no such beast exists.. i can tell you another
though..  you won't catch me dead in a GMC Syclone or Typhoon either,
1000 bhp or not.. not even the fact that Clint Eastwood has one.  just
my taste,  no rational reasons for it.


CAR just tested the S4 wagon with 5 banger and 6 speed manual.  Rave
review except for Servotronic..  Audi is trying to recoup the
development costs for the V8, and since the V8 is not selling well,
they are sticking it into the 100 series cars.. Neat marketing trick,
eh?  yeah, a 100 V8-32v wouldn't be a bad idea as competition for the
upcoming bimmer 530/540i would it?  maybe they can use a 3.6 liter
version to avoid conflicts with the v8 model.. then strip off all the
luxo-garbage.  let the S4 remain with the flared arches and fat tires
to go fight with the M5.... maybe turn up the boost a wee bit to bump
bhp up to say 450 or so.. :-) while keeping the 100 V8 with mercedes
500E style subtlety.

blah blah blah....
",7,rec.autos,32:20.2
877,"
[stuff about autobahn and safety of sho at speed deleted]

The Mustang is a much worse case of design irresponsibility than the
SHO. 

Its hard to predicatbaly drift a stock Mustang because
of the suspension.


Yes. When i think Mustang, I think school-bus +  F16 motor. In
my mind the Mustang should be fitted with a speed limiter at 80-90
or so. It just isn't safe, check out your local junkyard, Mustangs
outnumber other cars by a proportion way in excess of sales in
junkyards.

I find it astonishing the CU or somesuchlike has not jumped on the
Mustang for poor brakes in relation to power. Ford should at least
standardize on the SVO rear brakes for all 5.0's.




True of Northern Europe, latin countries are something else.

Kindof true. remember they were build by adolf in the '30's.


Yes.


""Autobahn"" is the german word for freeway. Other countries have
different names for loose equivalents; autostrada, autoroute, motorway
etc.


Europe did seem on the brink of a 130kmh limit. It hasn't passed as
far as I know. typical speeds in western europe are much higher than
the US. Law enforcement is negligible in my experience (comapred
to the US) as there is no revenue enhancement motivation. The things
you really notice are the higher speed differentials, and the more
professional attitude to driving. You just never see two cars
running parallel at 55.1 mph oblivious to all around them.


You're wrong. GTI's  go this fast. Just kind of noisy, not the ideal

autobahn car. A lot of times you see cars being driven with the drivers
foot on the floor. How do I know? - when you're not making any ground
on the identical car in front of you!


If something happens at 130-150 you're dead, but the same goes for much
over 35. Driving at high speed forces you to concentrate. I feel much
safer driving 130+ on the autobahn than 60-80 in typical US traffic
because most people seem to be awake. I've never seen any driver reading
a book on an autobahn, I see it all too often in the US.

Craig

It just doesn't *seem* fast after 30 minutes or so of aclimation. everybody
drives that fast, no big deal. ",7,rec.autos,32:20.2
904,"
-> I saw an interesting product in NY Auto Show, and would like to hear
-> your comments.
->
-> MILITECH(tm) is yet another oil additive. But the demonstration of
-> this product really impressive, if it didn't cheat.

  Well, I heard that Militech stuff works pretty good too.. One of my
friends who races in SCCA sanctioned events and all that stuff got the
Militech stuff early as a trial thing, and he put it in his CRX..  He
says it worked great, but I didn't ask him for any details.


-Erich
erich.lim@yob.sccsi.com
                                                                       ",7,rec.autos,32:20.2
910,"
But waiiiiiit, isn't Nissan officially registering the car as far as
government paperwork goes, Nissan Stanza Altima, to avoid costly and
lengthy paperwork? I read this on the net a while ago, and someone
actually may have said there's a little Stanza logo on the Altima
somewhere.

You *can* have it both ways :-)

Spiros",7,rec.autos,32:20.2
